sparsity,1000,10000,100000,1000000
0.01,0.0033,0.003,0.0032,0.0068
,0.0029,0.0027,0.0053,0.006
,0.0026,0.0024,0.0031,0.0046
,0.0029,0.0037,0.0096,0.0066
,0.0035,0.0045,0.0053,0.0051
,0.0034,0.0027,0.0082,0.0057
,0.0027,0.0026,0.0052,0.0073
,0.0025,0.0024,0.0025,0.0058
,0.0027,0.0028,0.0028,0.0095
,0.0033,0.0039,0.0229,0.0068
0.05,0.0033,0.0036,0.0108,0.0077
,0.003,0.003,0.0032,0.0074
,0.0028,0.0026,0.0052,0.007
,0.0039,0.0049,0.0089,0.0604
,0.0029,0.0044,0.011,0.0062
,0.0031,0.0032,0.0101,0.0066
,0.0046,0.0044,0.0044,0.0376
,0.0032,0.003,0.0035,0.0051
,0.0035,0.0036,0.0038,0.0057
,0.0167,0.0037,0.0149,0.0051
0.1,0.0044,0.0053,0.0091,0.0078
,0.0032,0.0032,0.0045,0.0064
,0.0031,0.0036,0.0049,0.0063
,0.018,0.0224,0.0107,0.0085
,0.0034,0.0219,0.0189,0.045
,0.0036,0.004,0.0056,0.0311
,0.0035,0.0036,0.0236,0.0086
,0.0029,0.022,0.0091,0.0085
,0.0034,0.0027,0.0145,0.0094
,0.003,0.003,0.0054,0.0096
